,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NB: 2025/26 are interim figures,,,
,2010-11,,,,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,2021-22,,,,2022-23,,,,2023-24,,,,2024-25,,,,2025-26,,,
Site,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e
Primary School - Our Lady of Good Counsel Roman Catholic,"318,468","180,198","138,270","58,907","169,808","92,894","76,914","31,428","196,185","110,043","86,141","36,235","171,253","98,871","72,382","31,585","161,443","90,465","70,979","29,826","160,337","83,024","77,313","29,539","164,591","102,445","62,145","30,295","130,403","57,967","72,435","24,001","150,851","88,682","62,170","27,723","142,997","77,051","65,947","26,265","124,885","56,384","68,500","22,914","138,331","75,706","62,624","25,298","124,769","69,379","55,389","22,797","117,957","63,258","54,699","21,576","138,348","76,836","61,512","25,308",99139.77,51096.89,48042.88,18138.61232
Primary School - Park Spring,"294,461","172,340","122,121","54,466","217,733","109,981","107,752","40,300","278,458","146,573","131,885","51,419","227,506","138,840","88,666","41,953","185,114","96,762","88,352","34,195","189,744","105,203","84,541","34,960","193,053","109,821","83,231","35,535","154,325","76,693","77,632","28,405",168177.91,93214.59,74963.32,30904.27483,186832.87,110166.68,76666.19,34313.2998,200442.89,106601.88,93841.01,36788.80707,202800.57,117679.71,85120.86,37092.17747,160998.92,90736.91,70262.01,29416.06959,162269,91553.72,70715.28,29681.6484,165629.95,89135.82,76494.13,30298.3075,155086.6,80074.64,75011.96,28374.64434
Primary School - Parklands,1482058,846311,635747,274136.2683,"1,141,387",661121,"480,266","211,238","1,016,339","468,675","547,664","187,595","949,589","594,088","355,501","175,094","724,029","385,301","338,728","133,749","878,617","489,490","389,128","161,885","893,166","525,110","368,055","164,401","770,692","360,316","410,377","141,850","771,099","467,073","304,026","141,715","780,069","483,426","296,643","143,257","200,485","38,390","162,095","36,748","935,095","475,472","459,623","170,987","890,746","501,145","389,601","162,748","739,823","438,108","301,715","135,326","231,700","231,700",0,"42,378",0,0,0,0
Primary School - Pool-in-Wharfedale Church of England,0,0,0,0,0,0,0,0,0,0,0,0,"131,775","73,459","58,316","24,306","165,059","83,336","81,723","30,489","163,294","83,555","79,739","30,083","181,526","99,733","81,793","33,414","145,037","70,113","74,924","26,695","227,629","124,101","103,528","41,828","224,293","139,077","85,216","41,191","176,211","136,926","39,286","32,372","200,617","117,745","82,871","36,694","182,753","92,515","90,238","33,395","195,679","109,796","85,883","35,793","193,462","104,160","89,302","35,390",170589.21,84102.68,86486.53,31211.00186
Primary School - Primrose Lane,"195,674","107,275","88,399","36,194","150,194","76,577","73,617","27,799","187,130","87,926","99,204","34,542","171,476","94,299","77,177","31,631","171,828","103,195","68,633","31,748","195,390","115,340","80,050","36,003","190,031","109,669","80,362","34,979","181,506","96,817","84,689","33,410","206,557","125,339","81,218","37,962","204,990","107,878","97,112","37,653","250,201","117,914","132,288","45,911","217,859","128,633","89,226","39,848","207,967","108,053","99,914","38,001","176,164","105,014","71,150","32,223","178,062","103,671","74,391","32,572",171320.4,98796.04,72524.36,31344.78038
Primary School - Pudsey Lowtown,"207,197","110,687","96,510","38,325","170,794","102,455","68,339","31,608","205,642","124,327","81,316","37,992","208,010","139,468","68,542","38,346","169,978","95,087","74,891","31,402","173,105","103,325","69,780","31,898","174,085","110,248","63,837","32,042","127,798","66,282","61,516","23,523","172,553","104,699","67,854","31,712","152,132","93,663",58468.69,"27,939",166600.52,95590.89,71009.63,30582.42078,177404.96,110824.06,66580.9,32452.21232,139822.75,85218.59,54604.16,25544.48177,125077.17,73496.32,51580.85,22878.74036,134422.46,78290.95,56131.51,24589.23582,119203.25,64394.48,54808.77,21809.42662
Primary School - Pudsey Primrose Hill ,337829,170285,167544,62488.23013,"208,193",78120,"130,073","38,541","244,495","142,361","102,134","45,163","210,509","118,672","91,836","38,828","213,763","104,414","109,349","39,483","295,457","157,995","137,462","54,435","309,902","183,782","126,120","57,042","339,039","144,509","194,530","62,399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary School - Quarry Mount,0,0,0,0,"201,042",0,"201,042","37,235","439,345","237,481","201,864","81,135","346,253","233,606","112,647","63,829","203,678","126,439","77,239","37,635","126,663","79,741","46,921","23,342","238,225","118,648","119,577","43,853","254,653","119,123","135,530","46,870","291,655","175,278","116,376","53,600","299,117","180,235",118882.24,"54,934",268263.69,141915.94,126347.75,49235.93778,636082,508697.6,127384.4,116425.8008,272537.63,154660.1,117877.53,49794.86464,223643.89,134648.26,88995.63,40908.36234,252572.96,160962.07,91610.89,46201.09104,220437.38,115605.13,104832.25,40331.22304
Primary School - Queensway,"308,459",192114,"116,345","57,056","262,834","158,646","104,188","48,641","289,410","170,187","119,222","53,462","285,224","173,890","111,334","52,597","206,702","120,821","85,881","38,189","182,646","107,106","75,540","33,655","166,854","99,214","67,641","30,712","145,136","69,268","75,868","26,713","173,353","105,991","67,362","31,860","168,554","98,404","70,150","30,957","185,202","107,292","77,910","33,998","177,212","106,990","70,222","32,415","166,248","94,631","71,617","30,375","162,107","95,921","66,187","29,652","145,754","79,414","66,340","26,662",137891.92,75902.13,61989.79,25228.70568
Primary School - Rawdon St Peters Church of England,"287,858","158,929","128,929","53,245","275,252","154,374","120,878","50,942","327,724","185,070","142,654","60,531","294,033","171,939","122,094","54,228","284,426","153,647","130,779","52,543","244,001","127,237","116,764","44,953","240,568","141,939","98,629","44,280","223,294","104,486","118,808","41,098","186,896","136,876","50,021","34,359","141,939","86,422","55,516","26,067","451,314","330,001","121,314","82,897","341,785","240,449","101,337","62,539","294,367","196,915","97,452","53,772","235,079","137,739","97,340","43,000","196,517","108,709","87,808","35,948",174234.15,84571.11,89663.04,31877.88008
Primary School - Raynville,"478,606","263,129","215,477","88,528","403,709","215,922","187,787","74,719","391,755","238,937","152,818","72,378","342,641","203,101","139,540","63,190","372,236","213,893","158,343","68,771","335,272","196,614","138,658","61,778","355,141","215,494","139,647","65,368","309,793","150,427","159,366","57,020","358,074","216,332","141,742","65,808","53,081","53,081",0,"9,741",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary School - Robin Hood,0,0,0,0,"70,949",0,"70,949","13,140","151,543","73,865","77,679","27,976","170,448","103,031","67,417","31,432","148,499","82,850","65,650","27,434","158,593","85,365","73,228","29,219","177,347","111,019","66,329","32,642","153,825","83,582","70,243","28,315","178,786","109,075","69,711","32,858","195,429","119,957","75,472","35,890","196,803","122,596",74206.97,"36,133",159287.47,100419.6,58867.87,29138.59493,154509.61,85229.58,69280.03,28231.12903,172342.26,101752.02,70590.24,31524.34265,104383.24,67407.02,36976.22,19093.91317,134593.26,77298.21,57295.05,24625.18285
Primary School - Rothwell Haigh Road Infant,176528,88061,88467,32652.38416,"153,989",79621,"74,368","28,501","192,269","97,949","94,320","35,500","164,292","91,440","72,852","30,304","169,331","83,423","85,907","31,277","175,918","94,130","81,787","32,411","167,842","97,547","70,296","30,894","141,602","62,352","79,250","26,062","131,330","81,830","49,500","24,137","34,577","34,577",0,"6,345",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary School - Rothwell St Marys Catholic,"63,973",0,"63,973","11,833","113,314","57,246","56,068","20,973","139,111","74,195","64,916","25,689","106,553","61,227","45,326","19,652","119,911","63,547","56,364","22,151","99,282","51,593","47,689","18,291","108,608","57,769","50,838","19,992","99,088","39,829","59,259","18,236","121,199","64,324","56,874","22,270","145,185","74,184","71,001","26,668","164,497","86,394","78,103","30,191","160,375","95,124","65,251","29,334","116,975","59,503","57,472","21,375","115,577","62,317","53,260","21,141","108,562","56,535","52,027","19,859",100908.75,44066.76,56841.99,18462.2649
Primary School - Rothwell Victoria Junior,"253,698","132,646","121,052","46,927","195,178","92,919","102,259","36,127","239,615","131,612","108,003","44,253","203,460","121,474","81,986","37,521","163,919","91,040","72,879","30,282","129,929","78,081","51,847","23,942","130,531","81,431","49,100","24,026","127,166","68,290","58,876","23,407","134,782","80,945","53,838","24,770","148,306","90,905","57,401","27,236","136,903","81,051","55,852","25,133","148,333","88,126","60,207","27,131","105,639","53,307","52,331","19,304","116,325","63,112","53,214","21,278","117,972","60,688","57,285","21,581",106303.95,48382.9,57921.05,19449.37069
Primary School - Roundhay St Johns Church of England Primary and Nursery,"198,567","117,180","81,387","36,729","162,569","94,391","68,178","30,087","216,432","112,965","103,467","39,964","183,002","107,572","75,430","33,750","207,350","123,982","83,369","38,311","229,131","137,846","91,285","42,222","214,391","136,348","78,042","39,460","164,785","78,267","86,517","30,330","189,653","115,396","74,257","34,855","227,295","138,342","88,954","41,743","245,531","141,806","103,725","45,072","211,777","145,616","66,161","38,748","161,556","104,761","56,795","29,512","114,045","74,372","39,674","20,861",0,0,0,0,0,0,0,0
Primary School - Sacred Heart Catholic,"41,759","26,293","15,466","7,724","39,390","21,196","18,194","7,290","51,636","32,276","19,360","9,541","45,226","24,716","20,510","8,343","32,265","21,732","10,533","5,963","16,622","14,280","2,342","3,065","141,767","75,959","65,808","26,096","146,871","65,957","80,914","27,032","169,314","102,100","67,214","31,117","186,966","110,529","76,437","34,338","78,160","78,160",0,"14,371",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary School - Shadwell,0,0,0,0,"36,447",0,"36,447","6,750","331,042","222,460","108,582","61,185","219,500","132,321","87,178","40,478","191,239","103,198","88,041","35,328","191,201","103,722","87,479","35,227","188,315","103,502","84,813","34,664","187,834","88,389","99,444","34,572","162,424","95,411","67,013","29,849","146,127","73,720","72,407","26,842","130,950","70,289","60,661","24,035","133,295","72,018","61,277","24,376","115,728","64,321","51,407","21,145","145,288","95,084","50,203","26,576","111,797","62,430","49,367","20,451",112682.45,58552.76,54129.69,20616.38105
Primary School - Shire Oak Church of England,"275,402",164873,"110,529","50,941","259,124","157,972","101,152","47,954","233,660","162,739","70,921","43,193","166,163","95,205","70,958","30,647","168,911","95,583","73,328","31,206","165,223","97,082","68,142","30,445","186,140","106,639","79,501","34,263","189,549","89,873","99,676","34,888","223,044","137,625","85,419","40,993","203,932","118,483","85,448","37,454","204,658","114,097","90,561","37,566","220,491","131,134","89,357","40,330","188,069","110,733","77,337","34,360","189,182","109,884","79,298","34,605","191,962","114,364","77,599","35,115",167729.86,92277.44,75452.42,30687.85519
Primary School - Southroyd,"447,517","213,073","234,444","82,777","406,848","229,914","176,934","75,297","348,854","200,777","148,077","64,438","299,764","178,747","121,017","55,281","290,308","161,767","128,542","53,632","307,185","180,147","127,038","56,603","316,407","178,998","137,409","58,241","282,797","136,954","145,843","52,051","317,448","179,021","138,427","58,335","312,735","187,137","125,598","57,435","298,086","146,661","151,424","54,701","288,066","165,569","122,497","52,686","232,871","122,229","110,642","42,551","237,060","124,582","112,478","43,362","239,123","136,803","102,320","43,742",242207.36,125669.64,116537.72,44314.25859
Primary School - St Anthonys Roman Catholic,"227,114","139,135","87,979","42,009","239,971","145,227","94,744","44,410","238,095","189,178","48,917","44,040","146,264","86,664","59,601","26,974","148,458","76,875","71,584","27,423","152,608","82,593","70,015","28,117","136,641","79,459","57,182","25,151","129,460","55,707","73,753","23,827","140,718","81,956","58,762","25,860","145,980","84,699","61,281","26,811","136,436","60,617","75,819","25,033","150,565","85,577","64,988","27,537","143,597","77,124","66,473","26,238","152,344","83,797","68,547","27,866","151,837","82,942","68,895","27,775",136642.73,71787.26,64855.47,25000.15388
Primary School - St Augustines Roman Catholic Primary and Nursery,"425,792","236,818","188,974","78,759","358,899","214,118","144,781","66,420","521,427","331,545","189,881","96,351","336,902","207,891","129,011","62,124","344,859","199,925","144,934","63,714","342,276","200,720","141,557","63,069","358,641","223,159","135,482","66,011","329,251","179,633","149,618","60,606","376,362","220,877","155,485","69,166","426,658","271,180","155,478","78,352","112,840","112,840",0,"20,748",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary School - St Bartholomews Church of England,"395,575","229,809","165,766","73,170","285,140","142,690","142,450","52,777","369,592","211,672","157,920","68,267","306,290","170,967","135,323","56,496","330,472","162,946","167,526","61,041","286,568","145,926","140,642","52,794","277,079","152,241","124,838","51,003","309,366","125,669","183,697","56,937","337,736","184,619","153,117","62,061","433,005","219,359","213,647","79,538","406,826","212,345","194,481","74,665","495,318","284,377","210,941","90,592","333,433","189,864","143,568","60,921","330,623","191,079","139,544","60,476","325,324","154,502","170,823","59,512",253846.9,153651.22,100195.68,46443.82882
Primary School - St Edwards Catholic,"93,726",0,"93,726","17,336","150,328","90,983","59,345","27,820","185,982","118,661","67,321","34,367","174,620","110,561","64,059","32,197","178,996","101,595","77,401","33,069","188,798","119,916","68,881","34,793","158,982","96,807","62,175","29,263","152,464","75,448","77,017","28,063","174,138","96,791","77,347","32,000","187,849","110,672","77,177","34,500","202,563","106,528","96,035","37,177","173,638","101,668","71,970","31,759","143,893","80,800","63,093","26,291","194,187","191,722","2,465","35,522","146,024","75,121",70903.53,"26,712",158212.09,95558.91,62653.18,28946.48399
Primary School - St Francis Roman Catholic - Morley,"197,621","111,459","86,162","36,554","175,542","74,909","100,633","32,494","251,022","144,316","106,706","46,367","229,259","138,013","91,246","42,278","221,650","115,843","105,807","40,944","230,073","130,204","99,870","42,392","195,177","107,702","87,475","35,927","153,421","68,394","85,027","28,237","163,375","83,299","80,075","30,018","137,770","74,633","63,137","25,305","136,989","67,433","69,556","25,139","111,868","63,621","48,247","20,460","76,461","38,826","37,635","13,972","81,377","41,900","39,477","14,885","85,859","34,830","51,028","15,707",82369.66,45457.95,36911.71,15070.35299
Primary School - St Josephs Catholic - Hunslet,"172,259","79,014","93,245","31,863","139,424","58,505","80,919","25,809","210,311","101,276","109,035","38,824","188,248","106,256","81,992","34,722","198,333","98,718","99,615","36,634","151,838","77,554","74,283","27,973","199,093","98,919","100,174","36,649","173,805","72,679","101,126","31,988","207,953","108,426","99,527","38,210","189,619","116,365","73,254","34,823","192,315","100,919","91,396","35,296","167,236","83,406","83,830","30,579","146,975","69,584","77,390","26,859","146,431","74,055","72,376","26,784","152,645","74,251","78,394","27,924",129431.55,55625.97,73805.58,23680.79639
Primary School - St Josephs Catholic - Wetherby,"149,276","71,679","77,597","27,612","120,656","54,541","66,115","22,334","116,433","58,177","58,256","21,496","118,999","64,373","54,626","21,952","117,219","55,775","61,444","21,650","125,730","63,664","62,067","23,163","129,415","69,214","60,202","23,822","116,356","44,803","71,553","21,414","147,714","77,884","69,830","27,142","145,291","78,698","66,593","26,686","140,082","68,679","71,403","25,706","123,958","65,981","57,977","22,668","97,562","49,489","48,073","17,828","112,318","62,089","50,229","20,545","120,878","66,656","54,223","22,112",89437.35,36966.71,52470.64,16363.45756
Primary School - St Mary's Church of England,"141,513","71,925","69,588","26,176","100,257","58,881","41,376","18,555","151,377","99,825","51,553","27,976","130,596","76,645","53,951","24,085","118,515","55,442","63,074","21,889","103,706","56,329","47,378","19,107","104,422","57,618","46,804","19,221","97,833","47,180","50,653","18,007","100,146","67,153","32,993","18,408","94,194","56,249","37,945","17,299","87,901","42,742",45159.71,"16,130",103191.31,59178.43,44012.88,18873.23235,94981.17,53279.64,41701.53,17354.08159,91028.49,53997.2,37031.29,16650.67275,92201.41,50372.74,41828.67,16866.14761,82942.05,45439.36,37502.69,15175.07747
Primary School - St Matthews Church of England,"269,598","150,384","119,214","49,868","395,629","259,336","136,293","73,212","364,290","249,587","114,703","67,336","332,366","206,358","126,009","61,286","269,502","162,266","107,235","49,794","317,358","198,772","118,586","58,483","341,299","211,899","129,400","62,820","322,958","180,083","142,876","59,448","336,105","217,092","119,014","61,776","345,043","216,135","128,908","63,365","347,584","230,441","117,143","63,827","356,811","228,326","128,485","65,274","339,005","212,475","126,529","61,931","318,575","196,401","122,174","58,273","83,944","83,944",0,"15,353",0,0,0,0
Primary School - St Nicholas Roman Catholic,"238,911","132,716","106,195","44,191","185,146","98,610","86,536","34,267","221,831","119,377","102,454","40,966","256,649","171,023","85,626","47,314","168,842","91,179","77,663","31,191","181,983","101,619","80,364","33,530","191,127","110,914","80,212","35,180","199,347","104,113","95,234","36,693","209,361","126,237","83,124","38,477","204,482","120,175","84,307","37,555","224,813","122,938","101,875","41,264","216,493","130,473","86,020","39,600","178,460","97,594","80,866","32,608","192,559","105,479","87,081","35,222","160,017","94,723","65,294","29,271",147698.21,77069.14,70629.07,27022.8645
Primary School - St Oswalds Church of England Junior,"300,367","179,226","121,141","55,559","228,434","119,443","108,991","42,280","283,225","139,529","143,696","52,288","247,952","131,208","116,744","45,742","295,598","157,996","137,602","54,606","189,884","154,970","34,914","35,008","185,841","92,829","93,012","34,210","220,358","100,422","119,936","40,558","215,259","127,297","87,961","39,559","209,908","120,511","89,397","38,552","184,057","90,941","93,116","33,776","245,443","143,449","101,994","44,892","207,224","115,627","91,597","37,862","228,809","130,564","98,246","41,853","222,246","122,582","99,664","40,655",212184.47,105090.79,107093.68,38821.27063
Primary School - St Patricks Roman Catholic,"235,568","116,325","119,243","43,573","195,002","107,756","87,246","36,090","250,971","127,758","123,213","46,338","210,670","128,553","82,117","38,848","185,007","102,346","82,661","34,178","206,740","114,877","91,864","38,092","212,037","119,770","92,267","39,030","196,830","101,055","95,775","36,230","218,130","132,434","85,696","40,089","225,032","135,520","89,512","41,328","218,934","122,891",96043.34,"40,187",216528.7,130662.09,85866.61,39606.15939,191949.17,117225.97,74723.2,35067.4633,183764.38,108112.51,75651.87,33613.63238,203829.24,114307.31,89521.93,37285.73931,211612.21,122405.15,89207.06,38716.56994
Primary School - St Pauls Catholic,"225,800","139,314","86,486","41,766","208,990","125,329","83,661","38,677","166,763","101,847","64,917","30,810","153,484","93,019","60,466","28,304","162,007","97,178","64,830","29,933","162,383","96,385","65,999","29,922","167,098","104,620","62,478","30,756","150,064","77,820","72,243","27,622","255,760","161,088","94,672","47,007","243,852","152,079","91,773","44,782","85,961","85,961",0,"15,806",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary School - St Peters Church of England,"277,323","147,076","130,247","51,296","254,303","152,388","101,915","47,063","281,555","155,190","126,365","51,999","261,000","158,779","102,221","48,130","238,451","126,456","111,995","44,048","262,685","151,088","111,597","48,402","204,762","122,257","82,505","37,689","192,702","92,289","100,412","35,468","207,963","124,879","83,085","38,220","197,379","114,678","82,701","36,251","177,759","91,816","85,943","32,624","260,490","127,693","132,797","47,629","147,853","52,262","95,591","27,026","108,237","80,258","27,979","19,799","79,193","79,193",0,"14,484",0,0,0,0
Primary School - St Philips Catholic Primary and Nursery,"247,009","122,351","124,658","45,689","182,923","101,263","81,660","33,855","226,364","122,253","104,111","41,803","215,949","134,150","81,798","39,820","208,453","114,926","93,527","38,509","272,866","155,057","117,809","50,277","244,349","157,418","86,931","44,974","207,955","96,698","111,258","38,275","241,491","138,172","103,319","44,378","274,651","163,772","110,879","50,441","279,802","165,208","114,594","51,366","298,493","177,228","121,266","54,597","255,395","156,563","98,832","46,658","162,165","98,546","63,619","29,663","138,315","78,379","59,936","25,301",98998.57,46681.54,52317.03,18112.77837
Primary School - St Theresas Roman Catholic,"646,435","385,292","261,143","119,571","561,062","299,614","261,448","103,842","769,813","466,345","303,468","142,222","658,382","404,349","254,033","121,406","614,907","365,975","248,932","113,611","683,400","395,636","287,764","125,923","655,706","392,745","262,960","120,692","551,850","300,826","251,024","101,580","554,755","339,197","215,559","101,956","292,012","247,167","44,845","53,603","238,869","143,073","95,796","43,853","190,910","128,740","62,169","34,928","194,748","107,648","87,101","35,583","202,040","116,999","85,041","36,956","191,151","105,909","85,243","34,967",165576.39,90318.12,75258.27,30293.85631
Primary School - St Urbans Roman Catholic,80661,46039,34622,14919.86517,"70,054",38248,"31,806","12,966","83,540","47,999","35,541","15,431","106,009","60,428","45,581","19,552","81,911","47,964","33,946","15,134","81,316","46,856","34,460","14,983","89,643","50,629","39,014","16,501","88,995","37,639","51,356","16,379","108,025","64,484",43541.9,"19,853",80804.95,44905.47,35899.48,14841.44019,26474.07,26474.07,0,4867.787251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary School - Stanningley,"152,124","94,937","57,187","28,138","96,734","60,095","36,639","17,902","114,444","60,576","53,868","21,133","127,884","75,104","52,780","23,585","129,210","72,753","56,457","23,871","122,939","68,791","54,148","22,652","119,502","67,911","51,592","21,997","107,398","53,867","53,530","19,768","120,520","72,790","47,730","22,149","127,016","75,735","51,281","23,327","130,551","74,788","55,763","23,965","138,095","78,679","59,416","25,257","135,733","78,393","57,340","24,799","132,776","77,912","54,865","24,287","141,375","85,747","55,628","25,861",126009.09,71012.36,54996.73,23054.62311
Primary School - Strawberry Fields,"254,010","139,308","114,702","46,984","207,806","121,110","86,696","38,459","275,476","163,959","111,517","50,890","252,342","161,096","91,246","46,526","246,008","137,762","108,246","45,448","224,337","132,183","92,154","41,337","215,992","131,762","84,231","39,756","215,370","105,216","110,155","39,641","213,208","124,701",88507.1,"39,182",218246.16,125384.13,92862.03,40083.78315,252423.88,139503.11,112920.77,46333.00507,233359.87,133485.01,99874.86,42680.27138,259018.08,149115.98,109902.1,47323.90413,234800.35,128983.49,105816.86,42948.71501,60059.08,60059.08,0,10984.80573,0,0,0,0
Primary School - Summerfield,"328,675","203,512","125,163","60,795","285,621","160,206","125,415","52,861","380,500","221,544","158,956","70,286","347,005","235,058","111,947","63,967","343,842","199,022","144,820","63,526","281,981","162,479","119,502","51,957","312,947","192,518","120,428","57,601","291,575","157,131","134,444","53,670","319,411","203,149","116,262","58,706","343,306","211,749","131,558","63,048","270,733","159,101","111,632","49,700","239,940","149,388","90,553","43,891","208,246","122,774","85,472","38,047","203,996","117,348","86,648","37,314","204,449","110,403","94,047","37,399",157047.41,78705.25,78342.16,28733.39413
Primary School - Swinnow,"454,105","261,527","192,578","83,996","368,041","215,016","153,025","68,113","436,714","264,072","172,642","80,682","345,934","208,059","137,875","63,794","324,530","176,290","148,240","59,952","344,896","204,960","139,936","63,553","305,194","180,188","125,006","56,176","245,981","115,305","130,677","45,274","282,971","160,307","122,665","52,000","298,020","174,656","123,364","54,734","347,619","191,811","155,808","63,806","367,934","222,313","145,621","67,301","288,677","147,688","140,988","52,750","316,418","175,325","141,094","57,878","313,350","176,310","137,040","57,320",265228.97,122911.73,142317.24,48526.29235
Primary School - Templenewsam Halton,0,0,0,0,"186,888",0,"186,888","34,614","507,998","284,037","223,961","93,824","486,945","287,291","199,654","89,804","437,626","228,095","209,531","80,839","401,458","208,269","193,189","73,961","391,505","222,916","168,588","72,064","305,141","141,071",164070.28,"56,163",128346.54,128346.54,0,23610.6295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary School - The Whartons,"107,926","46,558","61,368","19,963","132,709","78,946","53,763","24,560","112,950","67,407","45,543","20,866","91,894","47,813","44,081","16,953","103,786","52,502","51,284","19,171","100,271","56,046","44,225","18,475","104,241","61,821","42,420","19,187","87,169","39,540","47,629","16,044",99242.08,58039.6,41202.48,18238.03192,109317.38,57891.35,51426.03,20079.34577,112525.33,64374.74,48150.59,20655.84551,124916.97,80125.41,44791.56,22852.02146,112221.5,57720.71,54500.79,20506.10939,125439.39,65546.71,59892.68,22944.76045,155292.36,101160.35,54132.01,28406.22056,117649.1,78074.7,39574.4,21525.07934
Primary School - Thorner Church of England,"123,191","58,438","64,753","22,787","79,401","33,710","45,691","14,698","112,104","57,211","54,893","20,699","170,918","120,304","50,614","31,503","101,551","53,249","48,303","18,759","77,510","41,038","36,472","14,280","83,052","50,638","32,414","15,287","107,021","48,248","58,773","19,697","38,820","38,820",0,"7,141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary School - Thorpe,"159,239","69,746","89,493","29,454","196,561","126,867","69,694","36,375","184,804","97,638","87,166","34,126","163,277","115,907","47,370","30,094","230,781","138,191","92,590","42,640","153,222","78,351","74,872","28,228","165,195","99,811","65,384","30,406","118,199","47,060","71,138","21,753","150,656","84,363","66,293","27,685","134,647","75,816","58,832","24,730","162,836","82,635","80,201","29,884","137,766","74,993","62,773","25,194","126,738","65,357","61,381","23,159","118,857","65,534","53,323","21,741","136,845","73,358","63,487","25,033",119282.13,52921.75,66360.38,21823.8585
Primary School - Tranmere Park,"277,566","162,631","114,935","51,341","261,084","123,272","137,812","48,326","323,679","173,359","150,320","59,773","278,797","152,615","126,181","51,427","226,654","103,381","123,273","41,860","241,102","131,404","109,698","44,422","176,992","99,370","77,622","32,579","160,823","73,876","86,948","29,600","192,356","98,411","93,944","35,344","216,480","124,581","91,899","39,759","255,570","130,890","124,680","46,903","261,012","140,764","120,248","47,732","137,818","76,413","61,405","25,181","164,297","72,298","91,999","30,052","219,044","123,127","95,917","40,069",212708.72,116151.49,96557.23,38917.18741
Primary School - Tyersal,"201,055","118,073","82,982","37,189","172,727","94,811","77,916","31,968","196,245","122,509","73,736","36,260","192,694","119,331","73,363","35,532","169,132","94,276","74,856","31,246","176,186","103,380","72,806","32,465","190,726","111,382","79,344","35,106","72,724","72,724",0,"13,393",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary School - Waterloo ,"447,640","300,986","146,654","82,800","325,300","175,863","149,437","60,207","395,579","235,878","159,701","73,078","352,346","211,470","140,876","64,977","376,483","219,765","156,718","69,557","345,681","201,219","144,463","63,695","332,267","202,357","129,910","61,158","343,995","176,801","167,194","63,317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary School - West End,"360,834","207,551","153,283","66,743","244,850","126,566","118,284","45,318","342,821","180,214","162,606","63,304","305,307","172,427","132,881","56,313","262,256","121,449","140,808","48,437","272,203","133,729","138,474","50,145","293,959","170,056","123,903","54,108","250,362","102,515","147,848","46,078","310,250","203,279","106,971","57,025","242,330","137,252","105,078","44,508","268,446","155,261","113,185","49,279","255,159","140,142","115,017","46,664","229,089","138,598","90,491","41,853","232,097","139,458","92,638","42,455","258,210","152,865","105,345","47,233",226642,123444.16,103197.84,41466.42032
Primary School - Westbrook Lane,"219,991","144,341","75,650","40,692","195,634","125,923","69,711","36,203","239,784","148,895","90,889","44,304","209,370","130,840","78,530","38,606","212,006","131,484","80,522","39,173","218,068","135,029","83,039","40,185","227,435","151,163","76,273","41,860","174,023","95,791","78,232","32,033","184,406","120,754","63,652","33,895","188,371","113,993","74,378","34,595","202,705","132,930","69,776","37,222","164,707","109,243","55,464","30,133","134,494","88,960","45,534","24,568","134,935","87,495","47,440","24,682","189,589","116,690","72,899","34,680",207515.56,126108.91,81406.65,37967.04686
