,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NB: 2025/26 are interim figures,,,
,2010-11,,,,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,2021-22,,,,2022-23,,,,2023-24,,,,2024-25,,,,2025-26,,,
Site,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e
ARCHIVE - Changing Pavilion - Victoria Park Cricket Pavilion and Clubhouse,0,0,0,0,479.83,0,479.83,88.8693143,187.57,-290.97,478.54,34.1799479,-668.73,-700.65,31.92,-123.0432877,286.45,32.2,254.25,52.8525432,514.77,418.18,96.59,94.90555367,349.95,349.95,0,64.38968652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Childrens Home - Bodmin Road,"179,969","107,207","72,762","33,289","177,213","105,653","71,560","32,796","165,665","112,885","52,780","30,621","151,037","94,265","56,772","27,850","126,289","76,237","50,052","23,334","-5,518","-5,518",0,"-1,018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Childrens Home - Inglewood,"78,620",0,"78,620","14,542","212,794","129,737","83,057","39,381","243,205","149,716","93,489","44,935","161,189","123,742","37,447","29,700","2,619","2,844",-224.77,484.5285551,0.53,0.53,0,0.0977585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Childrens Home - Iveson Approach ,"33,840",0,"33,840","6,259","82,654","46,934","35,720","15,297","100,708","62,659","38,049","18,608","98,740","63,570","35,170","18,205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Childrens Home - Wood Lane Learning Care Unit,"192,335","113,049","79,286","35,576","164,794","96,628","68,166","30,498","186,497","118,724","67,773","34,462","150,394","104,821","45,573","27,721","-20,081","-20,081",0,"-3,714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Community Centre - Alston Lane,"153,665","95,595","58,070","28,423","113,282","76,122","37,160","20,963","144,347","82,109","62,238","26,662","25,047","9,559","15,487","4,624","4,082",-205.65,"4,287",752.7656984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Community Centre - Bangladeshi Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Community Centre - Beckhill Garth Sheltered Housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Community Centre - Chaucer Avenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Community Centre - Communal Room - 60 and 62 Belle Isle Circus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Community Centre - Drighlington Meeting Hall Library,"88,675","47,368","41,307","16,402","76,809","42,186","34,623","14,216","73,365","44,020","29,346","13,554","61,482","39,854","21,628","11,335","63,332","29,586","33,746","11,697","58,119","30,220","27,898","10,707","65,140","37,104","28,036","11,990","68,810","33,567","35,243","12,665","87,247","59,147","28,101","16,037","42,283","42,283",0,"7,759",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Community Centre - Headingley,"97,650","47,170","50,480","18,062","40,577","36,011","4,566","7,507",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Community Centre - Kentmere,"179,929","93,904","86,025","33,281","145,388","69,564","75,824","26,911","165,287","83,556","81,731","30,517","146,220","91,526","54,694","26,961","151,835","70,235","81,601","28,043","113,210","56,791","56,419","20,856","145,162","82,790","62,372","26,720","126,488","60,082","66,406","23,281","65,853","65,853",0,"12,114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Community Centre - Little London,"108,822","57,501","51,321","20,129","92,541","51,305","41,236","17,127","107,786","65,668","42,118","19,914","104,372","67,961","36,410","19,243","99,626","55,189","44,437","18,405","22,092","22,092",0,"4,075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Community Centre - Meanwood,"197,073","104,592","92,481","36,453","134,261","76,904","57,357","24,848","117,734","60,885","56,850","21,739","142,366","94,100","48,266","26,246","131,241","76,515","54,726","24,247","130,132","76,222","53,910","23,978","119,289","59,419","59,869","21,959","106,491","50,759","55,732","19,600","46,201","46,201",0,"8,499",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Community Centre - Muslim Centre and Pakistani Community Education and Training Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Community Centre - Stanhope Memorial Hall,"3,773","5,008","-1,235",697.89181,"1,565","1,565",0,289.47805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Community Centre - The 59 Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Community Centre - West Leeds Centre,"379,109","222,872","156,237","70,124","96,592","248,022","-151,430","17,830","26,853","15,896","10,957","4,961","6,085","6,085",0,"1,120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Community Centre - West Park Curriculum Development and IT Centre,"1,974,896","1,247,274","727,622","365,297","1,570,472","851,032","719,440","290,663","636,143","729,165","-93,022","117,929","-7,169","-7,169",0,"-1,319",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Community Centre - Woodhouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Community Centre - Woodsley Road Youth and Community Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Council Offices - 180 - 182 Chapeltown Road,"180,134","101,674","78,460","33,319","134,626","90,581","44,045","24,912","82,772","42,342","40,430","15,283","17,433","9,319","8,115","3,216","-8,165","-8,165",0,"-1,510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Council Offices - 2 Great George Street,"691,157","379,738","311,419","127,843","711,430","314,931","396,499","131,688","919,492","497,918","421,574","169,806","795,920","436,288","359,632","146,817","668,701","300,862","367,839","123,499","699,474","357,814","341,660","128,863","675,588","370,389","305,199","124,357","783,093","308,399","474,694","144,121","268,215","268,215",0,"49,341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Council Offices - Adult Social Care - Unit 1 Acorn Business Park,"50,443","23,157","27,286","9,330","53,737","21,737","32,000","9,947","54,108","31,111","22,997","9,994","-13,825","14,090","-27,915","-2,570","35,891","15,461","20,430","6,628","47,104","23,592","23,512","8,678","50,870","28,448","22,422","9,364","7,940","7,940",0,"1,462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Council Offices - BITMO - Credit Union and Community Building - 26a Broom Crescent,"36,536","20,026","16,510","6,758","18,222","8,535","9,687","3,373","29,108","14,977","14,131","5,375","30,099","18,329","11,770","5,550","-20,328","-20,328",0,"-3,760",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
