Q1. Do you work for Leeds City Council,Q5. Work Postcode,Q6. Home Postcode,Q7. From home I,Q8. For how many minutes,Q9. To (location),Q10. Then I,Q11. For how many minutes,Q12. To (location),Q13. Then I,Q14. For how many minutes,Q15. To (location),Q16. Then I,Q17. For how many minutes,Q18. To (location),Q19. Then I,Q20. For how many minutes,Q21. To (location),Q22. Then I,Q23. For how many minutes,Q24. To (location),Q25. What was the main mode of transport you used to travel to work today? (Please select the mode of transport used for the longest distance travelled),Q26. On Monday,Q27. On Tuesday,Q28. On Wednesday?,Q29. On Thursday?,Q30. On Friday?,Q31. On Saturday?,Q32. On Sunday?,Q33. How many days a week do you usually work?,"Q34. How many days a week do you commute to your workplace? (i.e. only days you will travel to work, not work from home)",Q35. If you own a car what fuel type does it use?,"Q36. If you own a petrol, diesel or hybrid vehicle what engine size does it have?",Q37. At your usual workplace does your Employer provide you with Car/Van Parking?,Q38. Where do you usually park your Car/Van when you drive to work?,Q39. How much do you pay for parking per day?,"Q40. If you no longer had access to car parking at your usual place of work, what alternatives would you consider? (Please rank each alternative by how likely you think you would be to switch to that method of travel from 1 low likelihood to 5 high likelihood)",Q41 a,Q41 b,Q41 c,Q41 d,Q41 e,Q41 f,Q41 g,Q41 h,Q41 i,Q41 j,Q40 k,Q41. How would you describe your gender?,Q42. What is your age group?,Q43. What is your employment status?
No,LS17,LS7 ,Cycle,15,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cycle,Cycle,Work from Home,Cycle,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,2,1,Fully electric,-,Yes,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,65-74,Self-employed
No,LS6 ,LS6 ,Car/Van (Single Occupant),40,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from home,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,5,5,Diesel,Diesel 1.7-2.0L,-,On the Street,Don't pay (free),1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,Man,75-84,Self-employed
No,Ls7,Ls16,Car/Van (Single Occupant),25,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,5,5,Diesel,Diesel up to 1.7L,No,Roadside,Don't pay (free),1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,Man,45-54,Self-employed
No,LS12,LS12,Car/Van (Single Occupant),10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,6,6,Petrol,Petrol 1.4-2.0L,No,On the Street,Don't pay (free),1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,Woman,55-64,Working full-time
No,LS28,LS6 ,"Walk, wheel or run",5,The bus stop,"Walk, wheel or run",3,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Bus,Bus,Bus,Bus,Bus,Bus,Bus,Bus,5,4,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,55-64,Self-employed
No,LS28,LS16,Car/Van (Single Occupant),25,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,Work from Home,Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,4,4,Fully electric,-,Yes,In the workplace car park,Don't pay (free),1 low,1 low,1 low,1 low,3,1 low,1 low,1 low,1 low,1 low,4,-,Woman,45-54,Self-employed
No,LS16,LS16,"Walk, wheel or run",40,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Walk, wheel or run",N/A - Non working day,N/A - Non working day,"Walk, wheel or run",N/A - Non working day,N/A - Non working day,N/A - Non working day,N/A - Non working day,4,1,Petrol,Petrol 1.4-2.0L,No,On the Street,Don't pay (free),5 high,-,-,-,-,-,-,-,-,-,5 high,-,Woman,75-84,Self-employed
No,ls2 ,ls6 ,"Walk, wheel or run",10,The bus stop,Bus,25,The bus stop,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,"Walk, wheel or run","Walk, wheel or run",Bus,"Walk, wheel or run",Bus,Bus,Bus,"Walk, wheel or run",6,6,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,35-44,Working full-time
No,LS1 ,No w,Car/Van (Single Occupant),60,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van(Single Occupant),5,5,Diesel,Petrol 1.4-2.0L,No,In another private car park,More than £10,1 low,1 low,1 low,1 low,1 low,1 low,-,1 low,1 low,1 low,1 low,1 low,-,55-64,Self-employed
No,S75 ,Ls12,Car/Van share (driver),60,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),-,Car/Van(Single Occupant),5,5,Petrol,Petrol 1.4-2.0L,Yes,In the workplace car park,Don't pay (free),1 low,1 low,1 low,1 low,1 low,2,1 low,1 low,1 low,1 low,1 low,1 low,Man,35-44,Working full-time
No,LS9 ,LS23,Car/Van (Single Occupant),23,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,5,5,Petrol,Petrol more than 2.0L,Yes,In the workplace car park,Don't pay (free),1 low,1 low,3,1 low,1 low,1 low,1 low,1 low,1 low,1 low,3,4,Man,35-44,Working full-time
No,LS11,WF7 ,Car/Van Share (passenger),40,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van Share (Passenger),Car/Van Share (Passenger),Car/Van Share (Passenger),Car/Van Share (Passenger),Work from Home,N/A - Non working day,N/A - Non working day,N/A - Non working day,4,3,Self-charging hybrid,Petrol up to 1.4L,Yes,In the workplace car park,Don't pay (free),1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,5 high,Woman,55-64,Working part-time
No,LS1,LS53,Car/Van share (driver),15,Car Park,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van(Single Occupant),5,5,Diesel,Diesel more than 2.0L,No,In a public car park,More than £10,1 low,2,3,1 low,2,2,5 high,1 low,1 low,1 low,2,5 high,Man,45-54,Working full-time
No,LS1 ,Ls28,"Walk, wheel or run",1,The bus stop,Bus,40,The bus stop,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Bus,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,N/A - Non working day,4,1,Petrol,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,35-44,Working full-time
No,LS1 ,LS1 ,"Walk, wheel or run",20,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,"Walk, wheel or run",Bus,Bus,"Walk, wheel or run",Work from Home,N/A - Non working day,N/A - Non working day,5,3,Petrol,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Non-binary,25-34,Working full-time
No,BD23,Ls27,"Walk, wheel or run",10,The railway station,Train,8,The railway station,Train,40,The railway station,"Walk, wheel or run",20,My place of work,-,-,-,-,-,-,Work from Home,Work from Home,Train,Train,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,5,2,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,35-44,Working full-time
No,LS12,Ls10,Car/Van (Single Occupant),12,Car Park,"Walk, wheel or run",25,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,N/A - Non working day,4,2,Petrol,Petrol 1.4-2.0L,No,In a public car park,Less than £5,3,3,1 low,1 low,2,1 low,1 low,4,1 low,1 low,4,1 low,Man,45-54,Working full-time
No,LS12,LS6 ,"Walk, wheel or run",5,The bus stop,Bus,35,The bus stop,"Walk, wheel or run",5,The bus stop,Bus,10,The bus stop,"Walk, wheel or run",5,My place of work,-,-,-,N/A - Non working day,Work from Home,Car/Van (Single Occupant),Car/Van (Single Occupant),Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol 1.4-2.0L,No,In a public car park,Between £5-£10,1 low,1 low,1 low,1 low,5 high,1 low,1 low,1 low,1 low,1 low,5 high,1 low,Woman,45-54,Working full-time
No,ls12,ls8 ,Taxi,20,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Taxi,Taxi,Taxi,Taxi,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,5,3,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,35-44,Working full-time
No,LS12,LS21,"Walk, wheel or run",5,The bus stop,Bus,45,The bus stop,"Walk, wheel or run",15,My place of work,-,-,-,-,-,-,-,-,-,Bus,Bus,Work from Home,Work from Home,Work from Home,Bus,N/A - Non working day,N/A - Non working day,5,2,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Prefer not to say,35-44,Working full-time
No,LS9 ,Ls4 ,Car/Van (Single Occupant),10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,5,5,Diesel,Diesel 1.7-2.0L,No,In a public car park,Less than £5,3,1 low,3,1 low,3,1 low,3,1 low,1 low,1 low,2,3,Woman,35-44,Working full-time
No,LS11,LS7 ,Cycle,20,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cycle,Work from Home,Cycle,Cycle,Cycle,Work from Home,N/A - Non working day,N/A - Non working day,5,3,Petrol,Petrol 1.4-2.0L,Yes,In the workplace car park,Don't pay (free),1 low,5 high,1 low,1 low,4,1 low,-,1 low,1 low,1 low,4,-,Man,35-44,Working full-time
No,LS6 ,LS6 ,Bus,15,The bus stop,"Walk, wheel or run",20,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Bus,Bus,Bus,Bus,Bus,Bus,Bus,Bus,5,5,-,-,-,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,55-64,Working full-time
No,LS1 ,Ls12,Car/Van (Single Occupant),40,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,5,5,Diesel,Diesel more than 2.0L,Yes,In the workplace car park,£300.00 + VAT PER MONTH ,1 low,1 low,1 low,1 low,2,1 low,1 low,1 low,1 low,1 low,1 low,1 low,Man,35-44,Self-employed
No,LS2 ,LS17,Car/Van (Single Occupant),20,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,5,5,Petrol,Petrol 1.4-2.0L,Yes,In the workplace car park,Don't pay (free),1 low,1 low,1 low,1 low,5 high,1 low,1 low,1 low,1 low,1 low,1 low,1 low,Woman,55-64,Working full-time
No,LS1 ,BD10,Train,12,The railway station,"Walk, wheel or run",8,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,N/A - Non working day,N/A - Non working day,N/A - Non working day,N/A - Non working day,Train,N/A - Non working day,N/A - Non working day,N/A - Non working day,1,1,Petrol,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,65-74,Working part-time
No,Ls28,Ls18,Cycle,20,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,N/A - Non working day,N/A - Non working day,5,5,Petrol,Petrol up to 1.4L,Yes,In the workplace car park,Don't pay (free),5 high,5 high,-,-,-,-,-,-,-,-,-,-,Man,55-64,Working full-time
No,WF1 ,LS28,Cycle,30,The railway station,Cycle,2,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Cycle,Work from Home,Cycle,Cycle,Cycle,Work from Home,N/A - Non working day,N/A - Non working day,5,3,Petrol,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,35-44,Working full-time
No,LS11,LS28,Cycle,35,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cycle,Cycle,Cycle,Work from Home,Cycle,Cycle,N/A - Non working day,N/A - Non working day,5,4,Petrol,Petrol up to 1.4L,No,I do not drive to work,Don't pay (free),-,-,-,-,-,-,-,-,-,-,-,-,Man,35-44,Working full-time
No,Ls16,Ls15,"Walk, wheel or run",5,The bus stop,Bus,15,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Bus,Bus,Bus,Bus,Bus,Bus,Bus,Bus,5,5,-,-,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,16-24,Zero-hour contract
No,Ls1 ,BD11,Bus,60,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bus,N/A - Non working day,Bus,N/A - Non working day,Bus,Bus,N/A - Non working day,N/A - Non working day,5,3,-,-,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,45-54,Working full-time
No,LS19,LS29,Car/Van (Single Occupant),30,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,5,5,Petrol,Petrol up to 1.4L,Yes,In the workplace car park,Don't pay (free),1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,5 high,1 low,Woman,55-64,Working full-time
No,LS19,LS16,Car/Van Share (passenger),15,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van Share (Passenger),Car/Van Share (Passenger),Car/Van Share (Passenger),Car/Van Share (Passenger),Car/Van Share (Passenger),N/A - Non working day,N/A - Non working day,N/A - Non working day,4,4,Diesel,Diesel up to 1.7L,Yes,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,35-44,Working part-time
No,LS17,Ls26,Car/Van (Single Occupant),35,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Work from Home,N/A - Non working day,N/A - Non working day,5,4,Petrol,Petrol up to 1.4L,Yes,In the workplace car park,Don't pay (free),-,-,-,-,-,-,-,-,-,-,-,3,Woman,35-44,Working full-time
No,LS7 ,LS12,"Walk, wheel or run",7,The bus stop,Bus,20,The bus stop,"Walk, wheel or run",2,The bus stop,Bus,10,My place of work,-,-,-,-,-,-,Bus,Bus,Bus,N/A - Non working day,N/A - Non working day,N/A - Non working day,N/A - Non working day,Bus,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,45-54,Working full-time
No,LS17,Ls17,Car/Van share (driver),10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N/A - Non working day,Car/Van Share (Driver),Car/Van Share (Driver),N/A - Non working day,N/A - Non working day,N/A - Non working day,N/A - Non working day,N/A - Non working day,2,2,Petrol,Petrol up to 1.4L,Yes,In the workplace car park,Don't pay (free),4,-,-,-,-,-,-,-,-,-,-,-,Woman,55-64,Working part-time
No,LS17,LS16,Car/Van (Single Occupant),15,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,N/A - Non working day,4,4,Diesel,Diesel 1.7-2.0L,Yes,In the workplace car park,Don't pay (free),1 low,1 low,1 low,1 low,1 low,1 low,1 low,2,1 low,1 low,1 low,1 low,Woman,45-54,Working part-time
No,LS17,Ls72,public transport,45,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bus,Bus,Bus,Bus,Bus,Bus,N/A - Non working day,N/A - Non working day,5,5,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,25-34,Working full-time
No,LS17,LS16,Car/Van share (driver),20,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van Share (Driver),Car/Van Share (Driver),Car/Van Share (Driver),Car/Van Share (Driver),Car/Van Share (Driver),Car/Van Share (Driver),N/A - Non working day,N/A - Non working day,5,5,Diesel,Diesel 1.7-2.0L,Yes,In the workplace car park,Don't pay (free),4,4,1 low,1 low,1 low,1 low,-,1 low,1 low,1 low,1 low,-,Man,45-54,Working full-time
No,LS22,LS22,Car/Van (Single Occupant),10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,5,5,Diesel,Diesel up to 1.7L,Yes,In the workplace car park,Don't pay (free),1 low,1 low,1 low,1 low,5 high,1 low,1 low,2,1 low,1 low,1 low,1 low,Woman,25-34,Working full-time
No,LS28,LS28,"Walk, wheel or run",1,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Walk, wheel or run","Walk, wheel or run","Walk, wheel or run","Walk, wheel or run","Walk, wheel or run","Walk, wheel or run",N/A - Non working day,N/A - Non working day,5,5,Petrol,Petrol up to 1.4L,Yes,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,35-44,Working full-time
No,LS22,LS15,Car/Van (Single Occupant),25,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,5,5,Petrol,Petrol up to 1.4L,Yes,In the workplace car park,Don't pay (free),1 low,1 low,1 low,1 low,2,1 low,1 low,1 low,1 low,1 low,1 low,5 high,Woman,25-34,Working full-time
No,LS21,LS13,Car/Van share (driver),50,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van Share (Driver),Car/Van Share (Driver),Car/Van Share (Driver),Car/Van Share (Driver),Car/Van Share (Driver),Car/Van Share (Driver),Car/Van (Single Occupant),Car/Van(Single Occupant),5,5,Petrol,Petrol up to 1.4L,Yes,In the workplace car park,Don't pay (free),1 low,1 low,1 low,1 low,5 high,1 low,1 low,1 low,1 low,1 low,1 low,1 low,Woman,25-34,Working full-time
No,LS28,LS13,Car/Van (Single Occupant),10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,5,5,Petrol,Petrol up to 1.4L,Yes,In the workplace car park,Don't pay (free),2,2,3,2,2,1 low,1 low,3,1 low,1 low,3,-,Woman,35-44,Working full-time
No,LS17,LS16,Car/Van (Single Occupant),10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,4,4,Petrol,Petrol up to 1.4L,Yes,In the workplace car park,Don't pay (free),3,-,5 high,-,-,-,4,-,-,-,-,-,Woman,55-64,Working part-time
No,LS17,LS28,Car/Van (Single Occupant),30,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,5,5,Petrol,Petrol 1.4-2.0L,Yes,In the workplace car park,Don't pay (free),1 low,2,2,2,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,Man,35-44,Working full-time
No,LS10,LS11,Car/Van (Single Occupant),10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,5,5,Petrol,Petrol up to 1.4L,Yes,In the workplace car park,Don't pay (free),2,4,3,1 low,3,1 low,1 low,1 low,1 low,1 low,1 low,1 low,Woman,16-24,Working full-time
No,LS22,LS14,Car/Van (Single Occupant),20,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,5,5,Petrol,Petrol up to 1.4L,No,In the workplace car park,Don't pay (free),-,-,-,-,-,-,-,-,-,-,-,5 high,Prefer not to say,Prefer not to say,Working full-time
No,Ls1 ,Ls53,Cycle,15,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,N/A - Non working day,5,5,Fully electric,-,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,25-34,Working part-time
No,LS13,LS42,Cycle,20,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,N/A - Non working day,N/A - Non working day,5,5,Petrol,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Non-binary,25-34,Working full-time
No,LS1 ,LS26,Cycle,2,The railway station,Cycle,6,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Train,Train,Train,Train,Work from Home,Train,N/A - Non working day,Car/Van(Single Occupant),6,4,Fully electric,-,No,On the Street,More than £10,-,-,-,-,-,-,-,-,-,-,-,-,Man,25-34,Working full-time
No,Ls13,Ls85,Cycle,15,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cycle,Cycle,Cycle,Cycle,Cycle,Cycle,N/A - Non working day,N/A - Non working day,4,4,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,25-34,Working part-time
No,ls1,ls7,Car/Van (Single Occupant),15,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,5,3,Petrol,Petrol 1.4-2.0L,Yes,On the Street,Between £5-£10,1 low,2,2,4,-,2,3,3,3,3,2,-,Man,25-34,Working full-time
No,LS1,LS8,"Walk, wheel or run",1,The bus stop,Train,30,The bus stop,"Walk, wheel or run",20,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Work from Home,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,5,1,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,25-34,Working full-time
No,LS1 ,LS8 ,"Walk, wheel or run",1,The bus stop,Bus,30,The bus stop,"Walk, wheel or run",15,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Bus,Work from Home,Bus,Work from Home,Bus,N/A - Non working day,N/A - Non working day,5,3,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,25-34,Working full-time
No,LS1 ,LS12,"Walk, wheel or run",40,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Park and Ride (Bus),Park and Ride (Bus),Park and Ride (Bus),Work from Home,Park and Ride (Bus),Park and Ride (Bus),N/A - Non working day,N/A - Non working day,5,4,Petrol,Petrol 1.4-2.0L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,16-24,Working full-time
No,LS1 ,LS25,"Walk, wheel or run",15,The railway station,Train,12,The railway station,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,"Walk, wheel or run","Walk, wheel or run","Walk, wheel or run",Work from Home,"Walk, wheel or run","Walk, wheel or run",N/A - Non working day,N/A - Non working day,5,4,Petrol,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,35-44,Working full-time
No,LS1 ,LS16,"Walk, wheel or run",5,Cycle Hire Dock,Cycle,30,Cycle Hire Dock,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,Cycle,Cycle,Cycle,Work from Home,Cycle,Bus,N/A - Non working day,N/A - Non working day,5,4,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,25-34,Working full-time
No,Ls1 ,LS21,Car/Van (Single Occupant),10,The railway station,Train,20,The railway station,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,Train,Work from Home,Train,Train,Train,Work from Home,N/A - Non working day,N/A - Non working day,5,3,Diesel,Diesel more than 2.0L,No,In another private car park,Don't pay (free),1 low,3,1 low,5 high,2,1 low,1 low,1 low,1 low,1 low,2,1 low,Man,25-34,Working full-time
No,LS14,LS29,"Walk, wheel or run",10,The railway station,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Train,Train,Train,Work from Home,Train,Work from Home,N/A - Non working day,N/A - Non working day,5,3,Diesel,Diesel up to 1.7L,Yes,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,25-34,Working full-time
No,LS17,LS22,Car/Van (Single Occupant),10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),N/A - Non working day,N/A - Non working day,5,5,Petrol,Petrol up to 1.4L,Yes,On the Street,Don't pay (free),2,2,3,1 low,5 high,1 low,1 low,1 low,1 low,1 low,1 low,1 low,Woman,16-24,Working full-time
